id,label
0,1
1,2
2,2
3,2
4,6
5,4
6,3
7,5
8,2
9,6
10,3
11,3
12,4
13,6
14,3
15,3
16,3
17,5
18,4
19,1
20,3
21,3
22,3
23,5
24,3
25,4
26,0
27,3
28,3
29,3
30,3
31,3
32,3
33,0
34,5
35,1
36,5
37,3
38,5
39,3
40,6
41,0
42,6
43,3
44,0
45,4
46,4
47,1
48,3
49,4
50,3
51,4
52,3
53,3
54,2
55,3
56,6
57,0
58,1
59,3
60,3
61,0
62,6
63,3
64,4
65,3
66,4
67,6
68,3
69,5
70,3
71,3
72,6
73,4
74,6
75,3
76,6
77,0
78,3
79,0
80,0
81,6
82,6
83,0
84,3
85,4
86,6
87,5
88,0
89,0
90,3
91,0
92,6
93,2
94,6
95,5
96,6
97,1
98,4
99,4
100,6
101,6
102,0
103,0
104,3
105,6
106,1
107,3
108,4
109,5
110,3
111,6
112,6
113,3
114,3
115,1
116,1
117,1
118,4
119,5
120,6
121,6
122,3
123,6
124,6
125,3
126,4
127,1
128,6
129,6
130,1
131,1
132,3
133,6
134,3
135,0
136,6
137,6
138,1
139,3
140,5
141,5
142,0
143,1
144,6
145,2
146,6
147,4
148,6
149,6
150,0
151,5
152,6
153,6
154,6
155,4
156,1
157,6
158,0
159,1
160,2
161,5
162,0
163,5
164,5
165,6
166,6
167,1
168,2
169,2
170,6
171,2
172,6
173,3
174,1
175,3
176,3
177,5
178,0
179,0
180,5
181,6
182,1
183,6
184,3
185,5
186,6
187,6
188,2
189,1
190,5
191,3
192,6
193,3
194,4
195,6
196,3
197,4
198,3
199,6
200,3
201,5
202,6
203,3
204,1
205,6
206,3
207,6
208,6
209,3
210,6
211,4
212,4
213,5
214,3
215,6
216,6
217,3
218,3
219,4
220,6
221,5
222,3
223,6
224,1
225,6
226,4
227,6
228,5
229,1
230,6
231,5
232,3
233,4
234,6
235,3
236,5
237,6
238,1
239,0
240,1
241,5
242,5
243,3
244,4
245,6
246,3
247,0
248,5
249,6
250,5
251,6
252,1
253,6
254,6
255,5
256,4
257,1
258,4
259,3
260,3
261,6
262,4
263,4
264,5
265,5
266,0
267,6
268,5
269,4
270,0
271,6
272,5
273,1
274,1
275,1
276,3
277,6
278,6
279,6
