id,label
0,0
1,0
2,2
3,2
4,4
5,3
6,6
7,4
8,5
9,5
10,4
11,2
12,0
13,6
14,1
15,6
16,5
17,5
18,0
19,1
20,3
21,1
22,3
23,5
24,1
25,4
26,0
27,2
28,2
29,3
30,1
31,1
32,0
33,4
34,2
35,4
36,2
37,2
38,5
39,0
40,6
41,6
42,3
43,3
44,0
45,4
46,0
47,1
48,5
49,2
50,3
51,1
52,3
53,5
54,4
55,3
56,6
57,0
58,4
59,5
60,3
61,6
62,6
63,4
64,5
65,1
66,6
67,6
68,1
69,2
70,2
71,5
72,2
73,1
74,6
75,3
76,4
77,1
78,2
79,4
80,0
81,0
82,6
83,0
84,3
85,6
86,4
87,2
88,1
89,0
90,6
91,1
92,4
93,1
94,4
95,0
96,6
97,2
98,6
99,1
100,5
101,5
102,0
103,0
104,6
105,6
106,0
107,3
108,4
109,5
110,5
111,5
112,0
113,3
114,3
115,2
116,6
117,1
118,1
119,5
120,2
121,2
122,3
123,4
124,5
125,3
126,2
127,4
128,1
129,4
130,2
131,0
132,3
133,6
134,3
135,5
136,4
137,3
138,1
139,5
140,2
141,5
142,6
143,2
144,3
145,2
146,6
147,4
148,5
149,4
150,1
151,1
152,5
153,1
154,0
155,6
156,4
157,4
158,2
159,4
160,0
161,0
162,6
163,1
164,1
165,2
166,6
167,1
168,5
169,1
170,6
171,0
172,5
173,3
174,1
175,3
176,6
177,1
178,0
179,4
180,3
181,0
182,5
183,0
184,3
185,2
186,6
187,6
188,0
189,1
190,5
191,3
192,6
193,5
194,4
195,4
196,5
197,2
198,3
199,4
200,3
201,2
202,0
203,5
204,2
205,4
206,3
207,0
208,2
209,3
210,3
211,4
212,4
213,2
214,3
215,6
216,6
217,6
218,3
219,6
220,6
221,0
222,5
223,4
224,1
225,3
226,4
227,3
228,2
229,1
230,4
231,5
232,2
233,4
234,2
235,3
236,5
237,3
238,1
239,0
240,1
241,2
242,2
243,3
244,4
245,2
246,0
247,0
248,5
249,5
250,5
251,6
252,1
253,0
254,3
255,5
256,4
257,1
258,6
259,4
260,3
261,6
262,0
263,0
264,1
265,5
266,1
267,6
268,0
269,2
270,1
271,6
272,5
273,1
274,0
275,5
276,4
277,2
278,0
279,2
